tahun,status,nama_sekolah,jumlah_peserta,bahasa_indonesia,bahasa_inggris,matematika,ipa
2016,Negeri,SMP NEGERI 4 BANDUNG,295,83.67,74.77,59.62,66.22
2016,Negeri,SMP NEGERI 5 BANDUNG,326,88.77,88.4,77.26,81.4
2016,Negeri,SMP NEGERI 6 BANDUNG,311,79.31,61.53,42.29,55.79
2016,Negeri,SMP NEGERI 7 BANDUNG,390,86.28,82.04,65.9,72.6
2016,Negeri,SMP NEGERI 8 BANDUNG,305,85.6,75.11,60.55,70.73
2016,Negeri,SMP NEGERI 9 BANDUNG,486,83.44,75.34,63,70.64
2016,Negeri,SMP NEGERI 10 BANDUNG,398,79.68,65.22,45.06,58.03
2016,Negeri,SMP NEGERI 11 BANDUNG,464,81.13,74.83,56.39,66.77
2016,Negeri,SMP NEGERI 12 BANDUNG,331,84.43,78.68,62.52,72.94
2016,Negeri,SMP NEGERI 13 BANDUNG,458,86.63,85.09,66.55,77.04
2016,Negeri,SMP NEGERI 14 BANDUNG,284,86.46,80.04,69.16,74.51
2016,Negeri,SMP NEGERI 15 BANDUNG,334,81.54,69.71,52.27,60.9
2016,Negeri,SMP NEGERI 16 BANDUNG,287,82.38,69.54,53.95,60.77
2016,Negeri,SMP NEGERI 17 BANDUNG,493,81.44,69.71,50.71,61.92
2016,Negeri,SMP NEGERI 18 BANDUNG,415,82.63,69.44,54.91,63.75
2016,Negeri,SMP NEGERI 19 BANDUNG,269,79.75,66.11,44.21,60.07
2016,Negeri,SMP NEGERI 20 BANDUNG,414,81.5,68.84,47.66,62.59
2016,Negeri,SMP NEGERI 21 BANDUNG,302,76.13,54.5,37.32,45.58
2016,Negeri,SMP NEGERI 22 BANDUNG,285,82.23,73.19,53.63,60.75
2016,Negeri,SMP NEGERI 23 BANDUNG,292,77.49,59.37,39.55,53.72
2016,Negeri,SMP NEGERI 24 BANDUNG,478,78.96,57.54,42.75,52.14
2016,Negeri,SMP NEGERI 25 BANDUNG,330,80.95,73.35,57.6,67.54
2016,Negeri,SMP NEGERI 26 BANDUNG,276,82.17,64.93,45.89,58.4
2016,Negeri,SMP NEGERI 27 BANDUNG,346,81.17,72.51,55.47,67.57
2016,Negeri,SMP NEGERI 28 BANDUNG,323,84.56,80.69,64.22,72.93
2016,Negeri,SMP NEGERI 29 BANDUNG,424,77.72,58.98,40.17,52.41
2016,Negeri,SMP NEGERI 30 BANDUNG,449,83.06,73.44,54,67.54
2016,Negeri,SMP NEGERI 31 BANDUNG,451,80.41,67.85,46.23,62.27
2016,Negeri,SMP NEGERI 32 BANDUNG,288,73.2,54.75,37.28,50.1
2016,Negeri,SMP NEGERI 33 BANDUNG,438,77.99,63.82,46.5,58.25
2016,Negeri,SMP NEGERI 34 BANDUNG,312,84.37,80.73,66.58,75.52
2016,Negeri,SMP NEGERI 35 BANDUNG,343,78.29,61.05,46.39,55.73
2016,Negeri,SMP NEGERI 36 BANDUNG,281,80.28,67.18,48.82,60.12
2016,Negeri,SMP NEGERI 37 BANDUNG,420,75.86,54.03,39.89,52.99
2016,Negeri,SMP NEGERI 38 BANDUNG,391,75.18,52.39,36.38,47.97
2016,Negeri,SMP NEGERI 39 BANDUNG,271,78.32,58.44,41.8,57.09
2016,Negeri,SMP NEGERI 40 BANDUNG,312,80.34,69.32,47.83,60.64
2016,Negeri,SMP NEGERI 41 BANDUNG,373,79.44,62.96,44,59.26
2016,Negeri,SMP NEGERI 42 BANDUNG,396,75.06,58.28,39.14,52.94
2016,Negeri,SMP NEGERI 43 BANDUNG,366,78.87,75.79,53.55,67.67
2016,Negeri,SMP NEGERI 44 BANDUNG,259,83.81,83.43,67.62,71.82
2016,Negeri,SMP NEGERI 45 BANDUNG,371,78.98,70.53,48.77,61.56
2016,Negeri,SMP NEGERI 46 BANDUNG,416,79.44,59.98,44.77,54.93
2016,Negeri,SMP NEGERI 47 BANDUNG,328,77.5,58.19,44.9,52.95
2016,Negeri,SMP NEGERI 48 BANDUNG,447,79.5,72.81,50.86,64.92
2016,Negeri,SMP NEGERI 49 BANDUNG,309,78.57,66.5,45.53,62.85
2016,Negeri,SMP NEGERI 50 BANDUNG,422,80.91,76.12,57.71,67.16
2016,Negeri,SMP NEGERI 51 BANDUNG,476,76.21,57.56,39.03,53.6
2016,Negeri,SMP NEGERI  52 BANDUNG,335,76.41,57.23,37.65,51.68
