day,co,so2,no,no2,pm10,pm25,o3,wspd,wdir,temperature,press,rh,uv,station
2017-03-07,0,64.98,11.73,34.01,51.63,0,10.43,1.86,186.81,22.38,937.16,89.06,115.85,Gedebage
2017-03-08,0,68.54,14.04,32.89,47.96,0,11.02,1.82,157.98,23.71,937.24,81,216.1,Gedebage
2017-03-09,0,124.56,11.56,36.05,46.23,0,11.96,2.11,168.5,24.32,936.53,77.85,274.15,Gedebage
2017-03-10,0,157.19,19.3,37.87,72.02,0,12,1.81,153.79,24.02,936.3,80.62,261.57,Gedebage
2017-03-11,0,181.79,9.31,38.6,51,0,12.82,2.02,157.38,24.12,937.38,78.2,258.68,Gedebage
2017-03-12,0,168.89,24.51,36.93,48.48,0,12.41,2.03,182.03,24.42,938.22,77.5,216.65,Gedebage
2017-03-13,0,176.94,30.94,39.93,58.42,0,12.8,2.16,162.87,25,938.07,74.78,262.32,Gedebage
2017-03-14,0,197.37,24.46,39.7,65.43,0,12.74,2.02,193.23,25.24,938.03,71.49,180.75,Gedebage
2017-03-15,0,198.45,26.38,38.54,88.88,0,13.37,1.85,167.4,23.41,937.17,80.11,156.49,Gedebage
2017-03-16,0,163.02,30.42,39.31,91.49,0,12.34,1.4,157.33,23.2,936.47,87.41,193.42,Gedebage
2017-03-17,0,108.28,19.4,39.78,71.58,0,12.37,1.81,158.16,24.24,937.22,83.66,239.44,Gedebage
2017-03-18,0,105.86,23.2,37.14,42.09,0,13.45,1.57,191.78,22.79,939.12,88.35,140.99,Gedebage
2017-03-19,0,157.31,35,32.29,49.35,0,14.18,1.68,160.45,23.74,938.41,83.01,247.65,Gedebage
2017-03-20,0,129.82,36.8,30.5,60.86,0,12.73,2.28,216.81,23.19,937.6,84.2,194.06,Gedebage
2017-03-21,0,32.41,23.01,30.02,78.26,0,12.59,2.7,231.44,23.53,937.21,80.86,226.01,Gedebage
2017-03-22,0,29.21,11.18,35.77,69.33,0,12.43,3.32,219.75,24.11,936.98,83.44,201.75,Gedebage
2017-03-23,0,28.91,23.42,39.43,69.27,0,12.43,1.99,216.24,23.66,937.93,83.08,137.35,Gedebage
2017-03-24,0,31.69,25.32,37.52,92.23,0,12.84,2.58,203.64,24.97,937.91,76.9,295.58,Gedebage
2017-03-25,0,32.29,14.53,51.89,107.15,0,13.39,1.97,207.61,24.99,938.14,81.89,117.24,Gedebage
2017-03-26,0,33.82,12.3,44.27,88.29,0,12.77,1.56,184.2,24.11,938.84,83.49,119.47,Gedebage
2017-03-27,0,33.45,24.42,40.32,72.76,0,12.69,1.77,124.9,23.59,938.65,84.54,197.87,Gedebage
2017-03-28,0,28.7,28.74,39.45,79.91,0,12.82,1.41,145.44,23.74,939.27,83.53,155.68,Gedebage
2017-03-29,0,14.72,35.57,32.88,88.29,0,12.7,1.61,155.48,23.9,938.6,82.77,210.27,Gedebage
2017-03-30,0,13.47,34.19,33.15,73.26,0,12.42,1.61,115.1,23.53,938.94,85.27,213.16,Gedebage
2017-01-01,6.119999999999999,2.47,13.07,9.8,1.41,0,5.31,1.96,183.49,24.8,1003.48,81.18,103.62,Ujungberung
2017-01-02,6.03,2.33,13.29,9.3,1.51,0,4.97,1.87,179.49,24.26,1003.5,81.5,93.72,Ujungberung
2017-01-03,5.99,2.52,12.57,9.28,1.56,0,5.29,2.03,183.15,24.71,1003.52,81.42,96.81,Ujungberung
2017-01-06,0,-0.15,3.81,26.92,12.81,0,5.63,0.14,82.45,9.95,350.67,27.22,0,Ujungberung
2017-01-07,0,5.19,9.16,24.88,37.61,0,6.6,0.86,234.8,26.45,923.3299999999999,64.63,90.05,Ujungberung
2017-01-08,0,7.67,10.75,26.53,45.97,0,8.28,0.73,229.48,25.67,929.62,63.03,105.59,Ujungberung
2017-01-09,0,8.92,14.36,30.28,54.17,0,7.44,0.75,224.59,25.55,929.8199999999999,68.92,81.04,Ujungberung
2017-01-10,0,9.85,21.45,33.7,84.24,0,6.97,0.46,215.16,24.98,931.22,74.78,56.66,Ujungberung
2017-01-11,0,8.35,13.83,23.89,46.36,0,6.89,0.99,235.87,26.38,931.38,67.68,118.25,Ujungberung
2017-01-12,0,15.38,22.32,22.67,28.33,0,9.46,1.25,244.87,25.81,930.8399999999999,69.2,83.5,Ujungberung
2017-01-13,0,16.02,29.54,21.02,31.09,0,5.83,1.15,251.4,25.16,930.93,71.34,67.59,Ujungberung
2017-01-14,0,16.7,40.06,20.41,44.38,0,5.23,1.17,231.51,24.5,932.06,71.38,66.54,Ujungberung
2017-01-15,0,15.65,31.51,21.89,0.35,0,5.67,1.06,224,25.6,931.72,65.47,87.44,Ujungberung
2017-01-16,0,15.92,33.66,19.78,17.48,0,5.01,1.16,249.67,24.51,931.72,71.45,85.45,Ujungberung
2017-01-17,0,16.5,43.48,20.46,36.6,0,4.16,0.82,217.16,23.75,932.53,79.2,90.46,Ujungberung
2017-01-18,0,15.54,35.8,19.05,20.01,0,3.88,1.27,255.49,25.11,933.53,69.15,116.31,Ujungberung
2017-01-19,0,15.25,38.11,19.37,28.66,0,3.71,1.23,243.97,25.67,933.14,66.73,124.75,Ujungberung
2017-01-20,0,15.5,39.62,18.73,20.31,0,3.76,0.94,247.41,25.93,932.52,65.66,96.43,Ujungberung
2017-01-21,0,15.21,42.46,18.46,24.53,0,3.9,1.23,238.39,25.76,933.47,67.64,123.98,Ujungberung
2017-01-22,0,16.53,50.66,20.79,36.42,0,3.96,0.84,215.94,24.94,934.22,75.06,107.17,Ujungberung
2017-01-23,0,11.33,40.77,17.39,23.49,0,3.31,1.2,254.89,25.4,933.38,68.57,119.74,Ujungberung
2017-01-24,0,12.53,45.01,17.33,26.54,0,3.63,1.17,259.46,24.46,933.3499999999999,70.97,69.4,Ujungberung
2017-01-25,0,13.86,51.15,17.1,24.36,0,3.61,0.87,252.15,24.41,933.8299999999999,73.56,81.53,Ujungberung
2017-01-26,0,13.95,52.28,17.96,40.88,0,4.05,0.87,236.88,24.48,933.6800000000001,66.21,84.17,Ujungberung
2017-01-27,0,14.09,54.96,19,55.43,0,4.42,1.04,237.8,24.52,932.47,69.1,62.15,Ujungberung
2017-01-28,0,11.82,46.95,14.73,7.47,0,3.48,1.99,279.53,21.91,932.38,84.51,0,Ujungberung
2017-01-29,0,11.58,48.2,14.3,12.5,0,3.65,1.95,284.5,21.9,932.4,87.35,2.3,Ujungberung
2017-02-03,0,10.2,48.2,14.3,16,0,4.1,0.8,236,26.4,930.3,56.4,113.7,Ujungberung
2017-02-05,0,10.52,51.5,12.95,12,0,3.9,2.05,284.5,23.2,931.9499999999999,67,0,Ujungberung
2017-02-07,0,12.5,75.6,17.7,64,0,4.7,2,190,24,931.9,75.3,95.2,Ujungberung
2017-02-09,0,7.85,46.9,13,13,0,3.4,0.8,225,22.9,930.1,76.2,68.2,Ujungberung
2017-02-10,9999.9,10.4,58.7,15.4,48,0,27.2,0.5,258,21.9,932.5,88.4,0,Ujungberung
2017-02-11,9999.9,16.8,80,16.45,12,0,15.95,0.75,223,25,933.9499999999999,74,72.7,Ujungberung
2017-02-14,9999.9,17.52,94.67,14.53,8,0,7.3,0.43,301.67,22.5,935.4,84.7,0,Ujungberung
2017-02-15,9999.9,14.05,73.6,15,0,0,5.5,0.9,239,24.8,932.7,75.3,63,Ujungberung
2017-02-16,9999.9,8.42,51,15.98,47.82,0,4.14,0.7,213.76,24.87,934.06,73.09,85.57,Ujungberung
2017-02-17,9999.9,15.17,88.13,16.94,68.69,0,5.29,0.51,214.84,25.33,934.12,71.77,87.19,Ujungberung
2017-02-18,9999.9,16.63,91.14,19.19,76.27,0,6.08,0.55,225.91,25.48,934.08,71.55,78.69,Ujungberung
2017-02-19,9999.9,16.4,92.39,18.4,84.83,0,5.83,0.48,203.54,24.72,933.12,75.78,51.3,Ujungberung
2017-02-20,9999.9,17.8,109.02,17.04,86.12,0,5.41,0.32,207.75,24.23,932.39,80.75,27.57,Ujungberung
2017-02-21,9999.9,16.95,103.47,19.02,67.61,0,5.43,0.29,191.47,24.18,933.87,79.36,40.29,Ujungberung
2017-02-22,9999.9,16.52,103.99,18.76,75.29,0,5.95,0.27,179.29,23.76,934.26,79.96,61.09,Ujungberung
2017-02-23,5989.79,12.14,84.9,16,56.55,0,4.76,0.43,201.47,24.82,933.39,76,54.36,Ujungberung
2017-02-24,0,11.98,91.43,15.55,52.72,0,5.52,0.42,224.07,24.1,934.04,77.05,54.46,Ujungberung
2017-02-25,0,10.74,82.11,19.31,54.59,0,4.98,0.39,168.7,23.59,933.38,83.94,49.68,Ujungberung
2017-02-26,0,11.98,96.78,16.92,65.51,0,4.95,0.43,198.74,24.34,931.66,78.67,72.89,Ujungberung
2017-02-27,0,12.47,95.05,19.44,64.39,0,5.18,0.45,193.09,24,932.03,80.55,56.64,Ujungberung
2017-02-28,0,12.7,106.18,16.48,51.17,0,4.48,0.32,187.38,24,932.09,79.51,82.33,Ujungberung
2017-03-01,0,12.84,107.59,16.8,60.44,0,4.02,0.37,201.61,23.4,932.22,82.82,34.62,Ujungberung
2017-03-02,0,13.21,109.87,16.02,60.34,0,3.45,0.28,195.06,23.46,931.97,81.22,55.71,Ujungberung
2017-03-03,8397.43,7.7,67.95,17.32,46.79,0,3.59,0.55,181.25,25.12,930.25,73.13,76.7,Ujungberung
2017-03-04,9999.9,13.29,109.97,14.25,50.94,0,3.61,0.62,183.11,24.86,931.08,74.06,156.12,Ujungberung
2017-03-05,9999.9,13.5,109.14,14.05,59.29,0,3.65,0.75,213.79,24.23,931.2,78.38,109.28,Ujungberung
2017-03-06,9999.9,12.98,103.61,16.74,65.89,0,3.86,0.7,223.01,23.95,931.64,80.01,90.56,Ujungberung
2017-03-07,9999.9,10.05,88.07,15.37,55.64,0,3.67,0.69,225.77,22.47,932.4,85.82,57.43,Ujungberung
2017-03-08,9999.9,11.18,100.29,16.64,57.23,0,3.78,0.56,189.13,23.65,932.87,78.72,114.9,Ujungberung
2017-03-09,9999.9,12.19,104.2,17.86,53.27,0,4.1,0.74,207.92,24.1,932.11,75.49,151.28,Ujungberung
2017-03-10,9999.9,12.64,107.97,18.33,80.16,0,4.14,0.6,190.6,24.25,931.9,77.22,100.88,Ujungberung
2017-03-11,9999.9,12.4,106.99,17.3,59.47,0,4.14,0.65,174.91,24.35,932.7900000000001,73.47,109.59,Ujungberung
2017-03-12,9999.9,12.15,105.05,13.15,40.01,0,4.11,1.07,236.44,24.26,933.55,72.03,124.19,Ujungberung
2017-03-13,9999.9,12.3,110.38,12.15,61.3,0,4.2,0.98,224.24,25.25,933.76,66.82,154.17,Ujungberung
